Concern-overloadorg.apache.oodt.cas.workflow.engine -> [Wkf-topic-4, Wkf-topic-7];org.apache.oodt.cas.workflow.engine -> [Wkf-topic-4, Wkf-topic-7];[Dispersed Coupling -> TaskQuerier.persist, Feature Envy -> ThreadPoolWorkflowEngineFactory.getResmgrUrl, Feature Envy -> PrioritizedQueueBasedWorkflowEngine.getLifecycleForWorkflow, Feature Envy -> ThreadPoolWorkflowEngine.persistWorkflowInstance, Feature Envy -> IterativeWorkflowProcessorThread.executeTaskLocally]
Concern-overloadorg.apache.oodt.cas.workflow.lifecycle -> [Wkf-topic-5, Wkf-topic-6];org.apache.oodt.cas.workflow.lifecycle -> [Wkf-topic-5, Wkf-topic-6];[Dispersed Coupling -> WorkflowLifecycleManager.getLifecycleForWorkflow, Dispersed Coupling -> WorkflowLifecyclesReader.readStates, Feature Envy -> WorkflowLifecycle.makeCopy, Shotgun Surgery -> WorkflowState.getCategory, Shotgun Surgery -> WorkflowLifecycleStage.getName]
Concern-overloadorg.apache.oodt.cas.workflow.structs -> [Wkf-topic-2, Wkf-topic-3, Wkf-topic-1, Wkf-topic-8];org.apache.oodt.cas.workflow.structs -> [Wkf-topic-2, Wkf-topic-3, Wkf-topic-1, Wkf-topic-8];[Feature Envy -> FILOPrioritySorter.sort, Feature Envy -> HighestPrioritySorter.sort, Shotgun Surgery -> WorkflowCondition.isOptional, Shotgun Surgery -> WorkflowInstance.setPriority, Shotgun Surgery -> Priority.getValue, Shotgun Surgery -> WorkflowInstancePage.getPageWorkflows, Shotgun Surgery -> Workflow.getTasks, Shotgun Surgery -> WorkflowTask.setConditions, Shotgun Surgery -> Graph.getExecutionType, Shotgun Surgery -> WorkflowTaskConfiguration.getProperties, Shotgun Surgery -> ParentChildWorkflow.getGraph]
Concern-overloadorg.apache.oodt.cas.workflow.instrepo -> [Wkf-topic-5, Wkf-topic-3, Wkf-topic-6];org.apache.oodt.cas.workflow.instrepo -> [Wkf-topic-5, Wkf-topic-3, Wkf-topic-6];[Dispersed Coupling -> DataSourceWorkflowInstanceRepository.removeWorkflowInstanceMetadata, Dispersed Coupling -> MemoryWorkflowInstanceRepository.getNumWorkflowInstancesByStatus, Dispersed Coupling -> LuceneWorkflowInstanceRepository.toConditions, Feature Envy -> WorkflowInstanceMetadataReader.readFields, Intensive Coupling -> AbstractPaginatibleInstanceRepository.getPagedWorkflows, Shotgun Surgery -> WorkflowInstanceRepository.getWorkflowInstanceById]
Concern-overloadorg.apache.oodt.cas.workflow.repository -> [Wkf-topic-0, Wkf-topic-6, Wkf-topic-8];org.apache.oodt.cas.workflow.repository -> [Wkf-topic-0, Wkf-topic-6, Wkf-topic-8];[Feature Envy -> XMLWorkflowRepository.getGlobalWorkflowConditionsTask, Feature Envy -> DataSourceWorkflowRepositoryFactory.DataSourceWorkflowRepositoryFactory, Feature Envy -> DataSourceWorkflowRepository.handleGlobalWorkflowConditions, Feature Envy -> PackagedWorkflowRepository.getGlobalWorkflowConditionsTask]
Concern-overloadorg.apache.oodt.cas.workflow.examples -> [Wkf-topic-6, Wkf-topic-8];org.apache.oodt.cas.workflow.examples -> [Wkf-topic-6, Wkf-topic-8];[Dispersed Coupling -> ExternScriptTaskInstance.run, Dispersed Coupling -> FilterTask.run, Feature Envy -> NumIncrementTask.run, Feature Envy -> LongTask.run, Feature Envy -> RandomStatusUpdateTask.run, Feature Envy -> LongCondition.evaluate]
HierarchicalShotgun SurgeryWorkflow;Shotgun Surgery -> Workflow;[Shotgun Surgery -> Workflow.getName, Shotgun Surgery -> Workflow.setName, Shotgun Surgery -> Workflow.setConditions, Shotgun Surgery -> Workflow.getConditions, Shotgun Surgery -> Workflow.setTasks, Shotgun Surgery -> Workflow.getTasks, Shotgun Surgery -> Workflow.getId, Shotgun Surgery -> ParentChildWorkflow.getGraph, Shotgun Surgery -> Workflow.setId]
HierarchicalFeature EnvyWorkflowProcessorQueue;Feature Envy -> WorkflowProcessorQueue;[Feature Envy -> WorkflowProcessorQueue.getLifecycle, Feature Envy -> MockProcessorQueue.getProcessors]
HierarchicalTradition BreakerAbstractPaginatibleInstanceRepository;Tradition Breaker -> AbstractPaginatibleInstanceRepository;[Tradition Breaker -> DataSourceWorkflowInstanceRepository, Tradition Breaker -> LuceneWorkflowInstanceRepository]
HierarchicalRefused Parent BequestAbstractPaginatibleInstanceRepository;Refused Parent Bequest -> AbstractPaginatibleInstanceRepository;[Refused Parent Bequest -> DataSourceWorkflowInstanceRepository, Refused Parent Bequest -> LuceneWorkflowInstanceRepository, Refused Parent Bequest -> MemoryWorkflowInstanceRepository]
HierarchicalFeature EnvyWorkflowProcessor;Feature Envy -> WorkflowProcessor;[Feature Envy -> ConditionProcessor.setWorkflowInstance, Feature Envy -> TaskProcessor.setWorkflowInstance]
HierarchicalIntensive CouplingAbstractPaginatibleInstanceRepository;Intensive Coupling -> AbstractPaginatibleInstanceRepository;[Intensive Coupling -> AbstractPaginatibleInstanceRepository.getPagedWorkflows, Intensive Coupling -> LuceneWorkflowInstanceRepository.toWorkflowInstance, Intensive Coupling -> DataSourceWorkflowInstanceRepository.updateWorkflowInstance, Intensive Coupling -> DataSourceWorkflowInstanceRepository.addWorkflowInstance, Intensive Coupling -> LuceneWorkflowInstanceRepository.toDoc]
HierarchicalDispersed CouplingWorkflowProcessor;Dispersed Coupling -> WorkflowProcessor;[Dispersed Coupling -> TaskProcessor.getRunnableWorkflowProcessors, Dispersed Coupling -> WorkflowProcessor.isDone]
HierarchicalDispersed CouplingAbstractPaginatibleInstanceRepository;Dispersed Coupling -> AbstractPaginatibleInstanceRepository;[Dispersed Coupling -> DataSourceWorkflowInstanceRepository.addWorkflowInstanceMetadata, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getWorkflowInstances, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getWorkflowInstancesByStatus, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getNumWorkflowInstancesByStatus, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getNumWorkflowInstances, Dispersed Coupling -> LuceneWorkflowInstanceRepository.addConditionsToDoc, Dispersed Coupling -> MemoryWorkflowInstanceRepository.getNumWorkflowInstancesByStatus, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getWorkflowInstanceById, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.paginateWorkflows, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.removeWorkflowInstance, Dispersed Coupling -> MemoryWorkflowInstanceRepository.getWorkflowInstancesByStatus, Dispersed Coupling -> LuceneWorkflowInstanceRepository.addTasksToDoc, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.addMetadataValue, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.removeWorkflowInstanceMetadata, Dispersed Coupling -> LuceneWorkflowInstanceRepository.paginateWorkflows, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getWorkflowInstanceMetadata, Dispersed Coupling -> LuceneWorkflowInstanceRepository.addInstanceMetadataToDoc, Dispersed Coupling -> LuceneWorkflowInstanceRepository.toConditions]
HierarchicalFeature EnvyAbstractPaginatibleInstanceRepository;Feature Envy -> AbstractPaginatibleInstanceRepository;[Feature Envy -> DataSourceWorkflowInstanceRepository.addWorkflowInstanceMetadata, Feature Envy -> LuceneWorkflowInstanceRepository.getWorkflowInstanceById, Feature Envy -> MemoryWorkflowInstanceRepository.paginateWorkflows]
HierarchicalDispersed CouplingXmlRpcWorkflowManagerClient;Dispersed Coupling -> XmlRpcWorkflowManagerClient;[Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflowInstances, Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflows, Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflowInstancesByStatus, Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflowsByEvent]
HierarchicalDispersed CouplingTaskQuerier;Dispersed Coupling -> TaskQuerier;[Dispersed Coupling -> TaskQuerier.run, Dispersed Coupling -> TaskQuerier.persist]
